0.1,0.5,3.93941,3868.5
0.1,10,4.01517,3834.49

0.25,0.5,4.10743,3984.21
0.25,10,4.35776,4231.39

1,0.5,4.81432,4722.85
1,10,4.99916,4979.16

4,0.5,6.30497,6399.54
4,10,6.22922,6428.55
