200,100,101,102,130,131,132
10,3.46297,1.75723,0.0580422,3338.3,1693.97,55.9527
2,3.32326,1.7138,0.000514436,2971,1532.14,0.459906
1,3.32834,1.71501,0.000671673,5019.14,2586.24,1.01288
0.5,3.33004,1.71338,0.000715695,4235.81,2179.42,0.910365
